3, B2cin3akqr4aeiz5jr6ak7e/S01e2-en3aeijy4ckqrwyz5ky7, 4, 4, 16, 2bo2$obo!
3, B2-ak3ceq4e6c7e8/S012ce3ekry4einrty5ajk6cek7e, 3, 3, 16, 2bo$obo!
3, B2cek4crw5acek6ain7e8/S02ei3cij4arwy5aenqr6ack7c8, 2, 2, 16, 2bo2$2bo$o!
3, B2ek3-ajny4aw/S02-ei3n4aq, 1, 1, 16, o2$2bo$o!
3, B2-ek3aekq4kq5in6e7c/S02ek3ijr4aitw5an6ack7c, 8, 8, 17, 2bo2$obo!
3, B2aci3ak4aqw5n6e/S02en3cijry4ctwy5anr, 7, 7, 17, 2bo2$obo!
3, B2-ek3ak4iq/S02e3ijr4w5akn, 6, 6, 17, 2bo2$obo!
3, B2-ai3kny4aerty5jk6ai/S012c3cqr4krwyz5ny6k7c, 5, 5, 17, 2bo2$obo!
3, B2cen3ajr4a5j/S01c5r, 4, 4, 17, 2bo2$obo!
3, B2eik3aciq4-aenrz5-j6aik7e/S01e2ikn4ay7c, 3, 3, 17, 3bo2$2bo$o!
3, B2ce3-cjny4centwz5-jnq6ekn7c8/S02en4kz5cj, 2, 2, 17, obo2$o!
3, B2-ak3ejn4iwz5ejq6ack7e/S03n6e, 1, 1, 17, 2bo2$o$3bo!
4, B2ac3ey4y/S12ack3y4ik5c, 9, 9, 18, 2bo2$b2o$o!
3, B2-ek3ak4aqt5n6e/S02ei3acijr4eqtw5an8, 8, 8, 18, 2bo2$obo!
3, B2-ek3ak4acjqwz5iny6-ai7c/S02en3-ekqy4acekw5an6k, 7, 7, 18, 2bo2$obo!
3, B2cek3aq4qw6n/S02aen3c4a6n, 6, 6, 18, 3bo2$2bo$o!
3, B2-a3acn4i/S02ai, 5, 5, 18, o2bo2$2bo!
3, B2cek3ek4t6aen/S01c2e3cei4cekqz5c6in7e8, 4, 4, 18, 4bo2$o3bo!
3, B2eik3-a4-aiqty5-jkn6cek7c8/S02aci3cnr4cqrt6n, 3, 3, 18, bo$o2$bo!
3, B2ckn3-inqr4ciz5ejnqy6-ck7e8/S01c2ce3ry4ejry5n6k, 2, 2, 18, 2bo$o2bo!
3, B2ek3-ery4kqw5e7c/S03n4k5k, 1, 1, 18, 2bo$o2$2bo!
3, B2-ek3ak5cn6ce7c/S02e3aeijr4ektwy5an6n, 9, 9, 19, 2bo2$obo!
3, B2-ek3ak4ae5n6e/S03acijr4eqtw5an6c7c8, 8, 8, 19, 2bo2$obo!
3, B2-ek3ak4cknw5nq6e/S02cik3-enqy4aetw5an6an7c, 7, 7, 19, 2bo2$obo!
3, B2-ek3ak4a5n/S02ein3ijr4qw5an, 6, 6, 19, 2bo2$obo!
3, B2cek3ajnry4ejntwyz5-acir6-c7e8/S05iq, 5, 5, 19, 2bo2$obo!
3, B2ekn3iqr4n5y6n/S02ci3n4n5n6e, 4, 4, 19, o2$4bo2$2bo!
3, B2cek3ijnqr4-ejwy5-ekry6aen7c8/S01c2kn3einy4acikw5ey6in7c, 3, 3, 19, 2bo2$obo!
3, B2-an3aeik4cktwyz5-ekr6-ek7c8/S04eiz5a, 2, 2, 19, o$bobo!
3, B2ein3-eqry4ceinqrt5e6ace78/S01c2a4w5ein8, 1, 1, 19, obo2$o!
4, B2acn3ey5j/S12-ei3c5a, 10, 10, 20, 2bo2$b2o$o!
3, B2-ek3akq4kqw5n6cen/S02en3eijry4irw5akn6k, 9, 9, 20, 2bo2$obo!
3, B2aci3ak4aew5n6e7c/S02cn3eijr4cerw5an, 8, 8, 20, 2bo2$obo!
3, B2aci3ak4aeqw5cn/S02e3aijr4erw5aeknq, 7, 7, 20, 2bo2$obo!
3, B2-an3-ijq4ry5acj6a/S02ik3cn4jknr5n, 6, 6, 20, o$2bo2$2bo!
3, B2ce3ac4jw5k6en7c/S012-ck3-ajq4jktwy5-cej6aik7c, 5, 5, 20, 2o2$bo!
